# Curated "well-known players" list — source of truth for the Curated gamemode.
# One basketball_reference_id per line; text after # is a comment (ignored by sync).
# Edit freely (add/remove lines); run `python -m backend.scripts.sync_curated` to apply.

# === Modern All-Stars / All-NBA (1990+) — 200 ===
greenje02   # Jeff Green
terryja01   # Jason Terry
crawfja01   # Jamal Crawford
youngth01   # Thaddeus Young
arizatr01   # Trevor Ariza
harrito02   # Tobias Harris
willilo02   # Lou Williams
gayru01     # Rudy Gay
batumni01   # Nicolas Batum
jefferi01   # Richard Jefferson
diawbo01    # Boris Diaw
schrode01   # Dennis Schröder
princta01   # Tayshaun Prince
barneha02   # Harrison Barnes
harrial01   # Al Harrington
valanjo01   # Jonas Valančiūnas
bibbymi01   # Mike Bibby
smithis01   # Ish Smith
dunlemi02   # Mike Dunleavy
hillge01    # George Hill
gibsota01   # Taj Gibson
pachuza01   # Zaza Pachulia
millemi01   # Mike Miller
turkohe01   # Hedo Türkoğlu
hieldbu01   # Buddy Hield
redicjj01   # JJ Redick
jacksst02   # Stephen Jackson
jacksre01   # Reggie Jackson
plumlma01   # Mason Plumlee
barnema02   # Matt Barnes
battish01   # Shane Battier
matthwe02   # Wesley Matthews
ibakase01   # Serge Ibaka
tuckepj01   # P.J. Tucker
smithjr01   # J.R. Smith
feltora01   # Raymond Felton
crowdja01   # Jae Crowder
mcgeeja01   # JaVale McGee
olynyke01   # Kelly Olynyk
smithjo03   # Josh Smith
morrima02   # Markieff Morris
morrima03   # Marcus Morris
fryech01    # Channing Frye
caldejo01   # José Calderón
richaja01   # Jason Richardson
hilarne01   # Nenê
mccolcj01   # CJ McCollum
gordoer01   # Eric Gordon
hinriki01   # Kirk Hinrich
lopezro01   # Robin Lopez
millspa02   # Patty Mills
hughela01   # Larry Hughes
clarkjo01   # Jordan Clarkson
dudleja01   # Jared Dudley
caldwke01   # Kentavious Caldwell-Pope
odomla01    # Lamar Odom
hardati02   # Tim Hardaway Jr.
livinsh01   # Shaun Livingston
poseyja01   # James Posey
belinma01   # Marco Belinelli
mcderdo01   # Doug McDermott
sefolth01   # Thabo Sefolosha
biyombi01   # Bismack Biyombo
barbole01   # Leandro Barbosa
collini01   # Nick Collison
johnsja01   # James Johnson
riverau01   # Austin Rivers
davisri01   # Ricky Davis
ellismo01   # Monta Ellis
gallida01   # Danilo Gallinari
gortama01   # Marcin Gortat
hasleud01   # Udonis Haslem
perkike01   # Kendrick Perkins
thomptr01   # Tristan Thompson
rosste01    # Terrence Ross
anderky01   # Kyle Anderson
bogdabo02   # Bojan Bogdanović
grantje01   # Jerami Grant
dinwisp01   # Spencer Dinwiddie
greenda02   # Danny Green
bareajo01   # J.J. Barea
bledser01   # Eric Bledsoe
maggeco01   # Corey Maggette
allento01   # Tony Allen
covinro01   # Robert Covington
jonesty01   # Tyus Jones
martike02   # Kevin Martin
willija02   # Jason Williams
beverpa01   # Patrick Beverley
gordoaa01   # Aaron Gordon
adamsst01   # Steven Adams
bradlav01   # Avery Bradley
bonnema01   # Matt Bonner
turneev01   # Evan Turner
richaqu01   # Quentin Richardson
youngni01   # Nick Young
bellra01    # Raja Bell
robinna01   # Nate Robinson
oubreke01   # Kelly Oubre Jr.
portibo01   # Bobby Portis
boykiea01   # Earl Boykins
mccontj01   # T.J. McConnell
inglejo01   # Joe Ingles
nurkiju01   # Jusuf Nurkić
gordobe01   # Ben Gordon
scolalu01   # Luis Scola
capelca01   # Clint Capela
wellsbo01   # Bonzi Wells
smartma01   # Marcus Smart
hartjo01    # Josh Hart
roziete01   # Terry Rozier
anderch01   # Chris Andersen
bridgmi01   # Mikal Bridges
luety01     # Tyronn Lue
turnemy01   # Myles Turner
vanhoke01   # Keith Van Horn
chalmma01   # Mario Chalmers
rubiori01   # Ricky Rubio
greenge01   # Gerald Green
stephla01   # Lance Stephenson
varejan01   # Anderson Varejão
jennibr01   # Brandon Jennings
kuzmaky01   # Kyle Kuzma
curryse01   # Seth Curry
telfase01   # Sebastian Telfair
brownkw01   # Kwame Brown
evansty01   # Tyreke Evans
looneke01   # Kevon Looney
okafoem01   # Emeka Okafor
anunoog01   # OG Anunoby
beaslmi01   # Michael Beasley
harremo01   # Montrezl Harrell
monkma01    # Malik Monk
shumpim01   # Iman Shumpert
davisgl01   # Glen Davis
bogdabo01   # Bogdan Bogdanović
mozgoti01   # Timofey Mozgov
milicda01   # Darko Miličić
linje01     # Jeremy Lin
bargnan01   # Andrea Bargnani
brookdi01   # Dillon Brooks
olowomi01   # Michael Olowokandi
mayooj01    # O.J. Mayo
sextoco01   # Collin Sexton
novakst01   # Steve Novak
collijo01   # John Collins
divindo01   # Donte DiVincenzo
baglema01   # Marvin Bagley III
trentga02   # Gary Trent Jr.
dellama01   # Matthew Dellavedova
baynear01   # Aron Baynes
scalabr01   # Brian Scalabrine
farieke01   # Kenneth Faried
whiteha01   # Hassan Whiteside
waitedi01   # Dion Waiters
brownsh01   # Shannon Brown
harrijo01   # Joe Harris
robindu01   # Duncan Robinson
simonan01   # Anfernee Simons
westde01    # Delonte West
turiaro01   # Ronny Turiaf
cartemi01   # Michael Carter-Williams
carusal01   # Alex Caruso
kiddgmi01   # Michael Kidd-Gilchrist
aytonde01   # Deandre Ayton
brogdma01   # Malcolm Brogdon
allengr01   # Grayson Allen
kaminfr01   # Frank Kaminsky
marjabo01   # Boban Marjanović
warretj01   # T.J. Warren
parkeja01   # Jabari Parker
paytoga02   # Gary Payton II
williro04   # Robert Williams
fultzma01   # Markelle Fultz

# === Classic legends (pre-1990) — 85 ===
abdulka01   # Kareem Abdul-Jabbar
ervinju01   # Julius Erving
malonka01   # Karl Malone
westje01    # Jerry West
jordami01   # Michael Jordan
cousybo01   # Bob Cousy
havlijo01   # John Havlicek
chambwi01   # Wilt Chamberlain
malonmo01   # Moses Malone
olajuha01   # Hakeem Olajuwon
roberos01   # Oscar Robertson
russebi01   # Bill Russell
birdla01    # Larry Bird
gervige01   # George Gervin
hayesel01   # Elvin Hayes
barryri01   # Rick Barry
thomais01   # Isiah Thomas
barklch01   # Charles Barkley
pettibo01   # Bob Pettit
johnsma02   # Magic Johnson
bayloel01   # Elgin Baylor
ewingpa01   # Patrick Ewing
gilmoar01   # Artis Gilmore
stockjo01   # John Stockton
robinda01   # David Robinson
drexlcl01   # Clyde Drexler
wilkido01   # Dominique Wilkins
parisro01   # Robert Parish
wilkele01   # Lenny Wilkens
englial01   # Alex English
cowenda01   # Dave Cowens
laniebo01   # Bob Lanier
pippesc01   # Scottie Pippen
fraziwa01   # Walt Frazier
reedwi01    # Willis Reed
bingda01    # Dave Bing
worthja01   # James Worthy
mchalke01   # Kevin McHale
isselda01   # Dan Issel
sikmaja01   # Jack Sikma
thurmna01   # Nate Thurmond
richmmi01   # Mitch Richmond
architi01   # Tiny Archibald
dumarjo01   # Joe Dumars
dantlad01   # Adrian Dantley
moncrsi01   # Sidney Moncrief
mullich01   # Chris Mullin
haywosp01   # Spencer Haywood
cunnibi01   # Billy Cunningham
maravpe01   # Pete Maravich
millere01   # Reggie Miller
jonessa01   # Sam Jones
johnsde01   # Dennis Johnson
mcadobo01   # Bob McAdoo
thompda01   # David Thompson
goodrga01   # Gail Goodrich
unselwe01   # Wes Unseld
mikange01   # George Mikan
kingbe01    # Bernard King
pricema01   # Mark Price
chambto01   # Tom Chambers
monroea01   # Earl Monroe
cheekma01   # Maurice Cheeks
laimbbi01   # Bill Laimbeer
johnske02   # Kevin Johnson
willibu01   # Buck Williams
schrede01   # Detlef Schrempf
aguirma01   # Mark Aguirre
nancela01   # Larry Nance
majerda01   # Dan Majerle
wilkeja01   # Jamaal Wilkes
cummite01   # Terry Cummings
rodmade01   # Dennis Rodman
waltobi01   # Bill Walton
portete01   # Terry Porter
silaspa01   # Paul Silas
mannida01   # Danny Manning
vandeki01   # Kiki Vandeweghe
nixonno01   # Norm Nixon
willike02   # Kevin Willis
ellisda01   # Dale Ellis
freewo01    # World B. Free
masonan01   # Anthony Mason
stricro02   # Rod Strickland
petrodr01   # Dražen Petrović

# === Notable others (missing from the auto pool) — 9 ===
boguemu01   # Muggsy Bogues
bolma01     # Manute Bol
muresgh01   # Gheorghe Mureșan
webbsp01    # Spud Webb
bradlsh01   # Shawn Bradley
bowiesa01   # Sam Bowie
odengr01    # Greg Oden
bennean01   # Anthony Bennett
morriad01   # Adam Morrison
